seq_beneficiario;dt_inicio_direito;des_categoria;desc_entidade;val_redutor_teto;municipio;uf;dt_requerimento;dt_doc_completa;dt_deferimento;mes_deferimento;dias_uteis_concessao;;;;;;
189117;03/01/2025;CONJUGE;SECRETARIA DE EDUCACAO;7749,34;GARAPUAVA;MG;10/01/2025;14/01/2025;15/01/2025;Janeiro;2;;;;;;
189118;17/01/2025;CONJUGE;SECRETARIA DE JUSTICA E SEGURANCA PUBLICA;3957,2;JUIZ DE FORA;MG;23/10/2023;14/01/2025;17/01/2025;Janeiro;4;;;;;;
189120;31/07/2024;FILHO(A) INVALIDO(A);SECRETARIA DA AGRICULTURA;2088,44;SAO SEBASTIAO DO PARAISO;MG;14/08/2024;14/08/2024;15/01/2025;Janeiro;111;;;;;;
189121;09/10/2024;CONJUGE;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;11621,86;BELO HORIZONTE;MG;05/11/2024;19/12/2024;14/01/2025;Janeiro;19;;;;;;
189122;30/07/2024;CONJUGE;SECRETARIA DE JUSTICA E SEGURANCA PUBLICA;9221,94;BETIM;MG;28/08/2024;08/11/2024;14/01/2025;Janeiro;48;;;;;;
189123;01/10/2024;CONJUGE;SECRETARIA DE EDUCACAO;6283,14;BELO HORIZONTE;MG;24/10/2024;13/11/2024;14/01/2025;Janeiro;45;;;;;;
189128;07/12/2024;CONJUGE;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS - FHEMIG;6313,31;BELO HORIZONTE;MG;13/01/2025;15/01/2025;15/01/2025;Janeiro;1;;;;;;
189131;10/09/2024;CONJUGE;SECRETARIA DE EDUCACAO;1640,13;CURVELO;MG;06/12/2024;09/01/2025;15/01/2025;Janeiro;5;;;;;;
189133;25/08/2024;PAI OU MAE;SECRETARIA DE EDUCACAO;1518;PATOS DE MINAS;MG;15/10/2024;15/10/2024;16/01/2025;Janeiro;68;;;;;;
189134;21/12/2024;CONJUGE;ADVOCACIA GERAL DO ESTADO;31756,09;SANTA LUZIA;MG;13/01/2025;15/01/2025;16/01/2025;Janeiro;2;;;;;;
189143;06/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;2875,54;CORONEL MURTA;MG;09/01/2025;15/01/2025;16/01/2025;Janeiro;2;;;;;;
189144;26/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;4703,8;BELO HORIZONTE;MG;14/01/2025;16/01/2025;16/01/2025;Janeiro;1;;;;;;
189146;04/01/2025;CONJUGE;SECRETARIA DE EDUCACAO;4150,54;BELO HORIZONTE;MG;13/01/2025;15/01/2025;20/01/2025;Janeiro;4;;;;;;
189147;19/11/2024;CONJUGE;IEF INST EST DE FLORESTAS;1824,71;ASTOLFO DUTRA;MG;13/01/2025;15/01/2025;16/01/2025;Janeiro;2;;;;;;
189149;26/12/2024;CONJUGE;IGAM INST DE GESTAO DAS AGUAS;5052,58;BELO HORIZONTE;MG;14/01/2025;16/01/2025;16/01/2025;Janeiro;1;;;;;;
189150;23/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;7244,32;IGARAPE;MG;30/12/2024;17/01/2025;17/01/2025;Janeiro;1;;;;;;
189151;08/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;3769,25;CURVELO;MG;20/12/2024;16/01/2025;16/01/2025;Janeiro;1;;;;;;
189154;22/11/2024;CONJUGE;SECRETARIA DE EDUCACAO;1518;RIO ESPERA;MG;23/12/2024;16/01/2025;16/01/2025;Janeiro;1;;;;;;
189156;20/12/2024;CONJUGE;SECRETARIA DE ESTADO DE EDUCACAO;5604,65;MONTES CLAROS;MG;13/01/2025;15/01/2025;17/01/2025;Janeiro;3;;;;;;
189158;03/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;5055,78;SAO SEBASTIAO DO PARAISO;MG;26/12/2024;16/01/2025;17/01/2025;Janeiro;2;;;;;;
189159;06/12/2024;CONJUGE;SECRETARIA DA FAZENDA;15569,63;GUANHAES;MG;19/12/2024;17/01/2025;17/01/2025;Janeiro;1;;;;;;
189161;02/11/2024;CONJUGE;SECRETARIA DE EDUCACAO;1958,11;CARATINGA;MG;19/12/2024;17/01/2025;17/01/2025;Janeiro;1;;;;;;
189162;30/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;2624,82;CONTAGEM;MG;15/01/2025;17/01/2025;20/01/2025;Janeiro;2;;;;;;
189163;20/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;1518;JUSTINOPOLIS;MG;27/12/2024;17/01/2025;20/01/2025;Janeiro;2;;;;;;
189164;29/10/2024;CONJUGE;SECRETARIA DE EDUCACAO;2816,07;JAMPRUCA;MG;15/01/2025;17/01/2025;20/01/2025;Janeiro;2;;;;;;
189167;17/11/2024;COMPANHEIRO(A);SECRETARIA DE EDUCACAO;2826,14;ITABIRA;MG;09/01/2025;14/01/2025;20/01/2025;Janeiro;5;;;;;;
